id,name,muscle_group,category,created_at,form_notes,help_url
6766b3a5-293c-438e-bbe4-e2e946b4a16d,Air Squat,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
0cf918e5-18dd-448c-962c-5acba7da0151,Alternate Hammer Curl,Arms,strength,2026-03-23 18:31:15.561046+00,null,null
9ff32d08-fab2-4657-a276-094f335e0b7d,Alternating Kettlebell Row,Back,strength,2026-03-23 19:58:33.131057+00,null,null
6ca47d6e-e9fa-4595-9892-281633b47a5e,Ball Squat Toss,Full Body,strength,2026-03-02 23:50:57.793365+00,null,null
0f4d1d9b-8cbb-47e3-8193-dd6b72d38707,Barbell Curl,Arms,strength,2026-03-01 00:05:46.651691+00,null,null
fff3711b-38a4-487e-93d0-7c52efdbe890,Barbell Row,Back,strength,2026-03-01 00:05:46.651691+00,null,null
d8ce097b-5caf-49ae-88d6-2e80bdadafe3,Bear Crawl,Full Body,strength,2026-03-02 23:50:57.793365+00,null,null
2fa2d1d3-4ea2-420a-a514-fd0800e0d90f,Bench Press,Chest,strength,2026-03-01 00:05:46.651691+00,null,null
ad5739d0-0cf0-4850-8d38-10888a207ec2,Bench Sprint,Legs,strength,2026-03-23 20:08:27.948897+00,null,null
943d0c35-70bf-4fb3-993e-69782f63aee7,Bicep Curls,Arms,strength,2026-03-02 23:50:57.793365+00,null,null
e42fbdc9-2ae5-4813-9df9-1947777346f4,Bicycle Crunches,Core,strength,2026-03-02 23:50:57.793365+00,null,null
85d962a1-5274-4089-a627-624e783a81c2,Box Dips (Assist),Arms,strength,2026-03-02 23:50:57.793365+00,null,null
57854382-962e-41d6-9c02-09fe7de709fa,Box Jump,Legs,cardio,2026-03-02 23:50:57.793365+00,null,null
b6e39f07-c69d-4a85-8d00-114466ab6e12,Box Squat,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
2a6c163b-5e09-4f99-8d26-805e3dfabe8e,Box Step-ups,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
2da0485e-39b8-4bc6-98b5-e6965aa1d947,Burpee DB Press,Full Body,strength,2026-03-02 23:50:57.793365+00,null,null
5af004e8-94b3-4cbb-9b0e-df6ca4b28963,Burpees,Full Body,cardio,2026-03-02 23:50:57.793365+00,null,null
1864aeec-79c9-4c11-84c2-1042e3878e09,Butt Kicks (s),Legs,cardio,2026-03-02 23:50:57.793365+00,null,null
9357fd37-c9af-4342-b0d8-5bcab3f6a576,BW Back Extensions,Back,strength,2026-03-02 23:50:57.793365+00,null,null
45de9606-18c3-4500-9a28-cdf440454d51,Cable Crunch,Core,strength,2026-03-01 00:05:46.651691+00,null,null
f6f05350-3435-48ba-af10-d377d0c08941,Cable Face Pulls,Shoulders,strength,2026-03-02 23:50:57.793365+00,null,null
b3cf51a0-28e6-4669-8764-384cd46702fc,Cable Fly,Chest,strength,2026-03-01 00:05:46.651691+00,null,null
e54ceba1-10c3-45a1-871f-e432d8fd1467,cable pullover,null,strength,2026-03-25 12:46:33.643445+00,null,null
d8f7ec36-03ff-411d-a9b4-ed64773a3845,Cable Pullover,Back,strength,2026-03-02 23:50:57.793365+00,null,null
fd61b1ba-c236-4e99-8e02-cf48b6517ba4,Cable Squat Row,Back,strength,2026-03-02 23:50:57.793365+00,null,null
7414faf7-5b3d-4516-b547-402aef80f6cb,Cable Torso Rotations,Core,strength,2026-03-02 23:50:57.793365+00,null,null
b1254d46-2f3a-4be9-a649-cfbc86c40e71,Cable Woodchops,Core,strength,2026-03-02 23:50:57.793365+00,null,null
f13a998b-eb1a-4455-9105-33250861b7a1,Cable/Band Lateral Raise,Shoulders,strength,2026-03-02 23:50:57.793365+00,null,null
e89a3b3a-1f94-45b6-b8ac-a04051d6e3fe,Calf Raise,Legs,strength,2026-03-01 00:05:46.651691+00,null,null
eb1d1628-615c-42d2-b565-922f635fa96f,Center Decline,Core,strength,2026-03-02 23:50:57.793365+00,null,null
546e0d13-6653-4d60-a113-a094fc6e1c97,Chest Pass (Med Ball),Chest,strength,2026-03-02 23:50:57.793365+00,null,null
d28bad1f-9317-4fe5-8af9-c30d4f5a25ac,Chin-up Negatives,Back,strength,2026-03-02 23:50:57.793365+00,null,null
6cbdef15-f16c-43b0-b382-439659baf9dc,Cobra Stretch,Back,flexibility,2026-03-02 23:50:57.793365+00,null,null
12629028-b516-4911-ba6c-6bd9dd9f3b1a,Crab Walk,Full Body,cardio,2026-03-22 00:41:49.295306+00,null,null
bb8a0810-ec61-4c99-a113-d7bb8798a6a0,Crunch,Core,strength,2026-03-01 00:05:46.651691+00,null,null
7bc2f8b9-d78d-4b23-b155-37cc23187b10,Cycling,Legs,cardio,2026-03-01 00:05:46.651691+00,null,null
1804af5b-0324-4a07-88d1-5d2710aaa75d,Day 1 Push,Chest,strength,2026-03-22 18:16:39.169075+00,null,null
bcd106ef-4d81-4360-8d5d-096f8d712a25,DB Bench Press,Chest,strength,2026-03-02 23:50:57.793365+00,null,null
065a0722-2eb1-4a19-81f0-7d9f0cf918a4,DB Goblet Squat,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
3153bf6c-a798-47b4-87eb-92b2fb654c99,DB Incline Press,Chest,strength,2026-03-02 23:50:57.793365+00,null,null
e4f70e4e-b998-4289-b2ba-8fd80d1d386e,DB Overhead Press,Shoulders,strength,2026-03-02 23:50:57.793365+00,null,null
8996206f-c166-4c1a-b6b2-7c5228fc6a1f,DB Renegade Row,Back,strength,2026-03-02 23:50:57.793365+00,null,null
fb082ab1-e28e-4c32-bd10-c9bb21d23503,DB Split Squat,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
1ee110eb-9d11-442a-bacb-c06c4412dd13,DB Step-ups,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
b664e58f-b1b8-400f-b3b0-4be5f9d7339a,Deadbug (Weighted),Core,strength,2026-03-02 23:50:57.793365+00,null,null
7484fdbf-c56e-4a23-b291-efb688ed9136,Deadbugs,Core,strength,2026-03-02 23:50:57.793365+00,null,null
300ee56b-df67-4e5e-aff8-51ce6416e171,Deadlift,Back,strength,2026-03-01 00:05:46.651691+00,null,null
45d918fa-d696-48ae-9554-89761ec98837,decline DB press,null,strength,2026-03-22 23:17:08.383963+00,null,null
